Saulė
Mėnuo
Perkūnas
Velnias
Rugių boba
Dievas senelis
Kaulinis Diedas
Gabija
Žemyna
Aušrinė
Vėjopatis
Bangpūtys
Laima
Laumė
Kaukai
Aitvaras
Prakorimas
Rūgutis
Žemininkas
Krūminė
Lietuvonis
Kauriraris
Sutvaras
Upinis
Bubilas
Gulbis
Ganiklis
Šventpaukštinis
Pušaitis
Laukpatis
Algis
Austėja
Pagirnis
Vaižgantas
Veliona
Butė
Diedievaitė
Dirvolira
Gaila
Kovas
Milda
Nijolė
Praurimė
Ragana
Gardaitis
Ežerinis
Aukštėjas
Andajus
Medeina
Žvorūna
