Abundantia,
Acca Larentia
Acis
Aerecura
Aequitas
Aesculapius
Aeternitas
Aeon
Aius Locutius
Alernus
Angerona
Angitia
Anna Perenna
Annona
Antevorta
Apollo
Arimanius
Aura
Aurora
Averruncus

Bacchus
Bellona
Bona Dea
Bonus Eventus
Bubona
Caca
Cacus
Caelus
Camenae
Cardea
Carmenta
Carmentes
Carna
Ceres
Clementia
Cloacina
Concordia
Consus
Cupid
Cura
Cybele
Dea Dia
Dea Tacita
Decima
Devera
Diana
Discordia
Dius Fidius
Di inferi
Disciplina
Dispater
Epona
Egeria
Empanda
Epona
Falacer
Fama
Fascinus
Fauna
Faunus
Faustitas
Februus
Febris
Fecunditas
Felicitas
Ferentina
Feronia
Fides
Flora
Fornax
Fontus
Fons
Fortuna
Fufluns
Fulgora
Furrina
Genius
Gratiae
Hercules
Hermaphroditus
Honos
Hora
Indiges
Intercidona
Inuus
Invidia
Janus
Juno
Jupiter
Justitia
Juturna
Juventas
Lares
Latona
Laverna
Lemures
Levana
Letum
Liber
Libera
Liberalitas
Libertas
Libitina
Lua
Lucifer
Lucina
Luna
Lupercus
Lympha
Mana Genita
Manes
Mania
Mantus
Mars
Mater Matuta
Meditrina
Mefitis
Mephitis
Mellona
Mena
Mercury
Minerva
Mithras
Molae
Moneta
Mors
Morta
Murcia
Mutunus Tutunus
Naenia
Nascio
Necessitas
Nemesis
Neptune
Nerio
Neverita
Nixi
Nona
Nortia
Nox
Opis
Orcus
Palatua
Pales
Parcae
Pax
Penates
Picumnus
Picus
Pietas
Pilumnus
Pluto
Poena
Pomona
Porrima
Portunus
Postverta
Priapus
Proserpina
Providentia
Pudicitia
Querquetulanae
Quirinus
Quiritis
Robigo
Roma
Rumina
Salacia
Salus
Sancus
Saturn
Securitas
Silvanus
Sol Invictus
Somnus
Soranus
Sors
Spes
Stata Mater
Sterquilinus
Suadela
Summanus
Sulis Minerva
Tellumo
Tempestas
Terra
Terminus
Tiberinus
Tibertus
Tranquillitas
Trivia
Vacuna
Vagitanus
Vediovus
Venilia
Venti
Venus
Veritas
Verminus
Vertumnus
Vesta
Vica Pota
Victoria
Viduus
Virbius
Virtus
Volturnus
Voluptas
Vulcan
