Alcis
Baldr
Bragi
Dellingr
Forseti
Freyr
Frea
Yngvi
Ing
Heimdallr
Heremod
Höðr
Hœnir
Lóðurr
Loki
Móði
Magni
Máni
Mímir
Meili
Njörðr
Odin
Óðr
Saxnat
Thor
Thunaer
Donar
Tuisto
Týr
Tīw,
Tīg
Ziu
Ullr
Váli
Viðarr
Vé
Vili
Baduhenna
Bil
Beyla
Eir
Ēostre
Freyja
Frigg
Fulla
Gefjun
Gersemi
Gerðr
Gná
Gullveig
Hariasa
Hlín
Hnoss
Hretha
Ilmr
Iðunn
Irpa
Lofn
Nanna
Nehalennia
Nerthus
Njörun
Rán
Rindr
Sága
Sandraudiga
Sif
Sigyn
Sinthgunt
Sjöfn
Skaði
Snotra
Sól
Sunna
Syn
Tamfana
Þrúðr
Þorgerðr Hölgabrúðr
Vár
Vör
Zisa
