Aayla
Allana
Amidala
Aurra
Barris
Breha
Carrie
Eisley
Estrella
Hera
Kiera
Leia
Luminara
Luna
Lyra
Numa
Padme
Pluma
Rebel
Rey
Star
Sabine
Sky
Tallie
Zam
