Sirius
Canopus
Centauri
Rigil Kentaurus 
Toliman
Arcturus
Vega
Capella
Rigel
Procyon
Achernar
Betelgeuse
Hadar
Altair
Acrux
Aldebaran
Antares
Spica
Pollux
Fomalhaut
Deneb
Mimosa
Regulus
Adhara
Shaula
Castor
Gacrux
Bellatrix
Elnath
Miaplacidus
Alnilam
Regor
Alnair
Alioth
Alnitak
Dubhe
Mirfak
Wezen
Sargas
Kaus Australis
Avior
Alkaid
Menkalinan
Atria
Alhena
Peacock
Alsephina
Mirzam
Alphard
Polaris
Hamal
Algieba
Diphda
Mizar
Nunki
Menkent
Mirach
Alpheratz
Rasalhague
Kochab
Saiph
Denebola
Algol
Tiaki
Muhlifain
Aspidiske
Suhail
Alphecca
Mintaka
Sadr
Eltanin
Schedar
Naos
Almach
Caph
Izar
Dschubba
Larawag
Merak
Ankaa
Girtab
Enif
Scheat
Sabik
Phecda
Aludra
Markeb
Navi
Markab
Aljanah
Acrab
