Acid
Acetonitrile
Acetyl
Acetylide
Acryl
Agent Orange
Aldrin
Alkaloid
Borax
Caffeine
Calcium sulfide
Capsaicin
Castoreum
Celluloid
Chlordane
Chloroform
Chromophore
Crocin
Cyanide
Cytosine
Defoliant
Deoxyribose
Dichlorphenolindophenol
Dieldrin
Dioxin
Dye
Endrin
Ephedrine
Epoxy
Fat
Fuel
Galactose
Glue
Heptachlor
Herbicide
Hydrofluorocarbon
Hydrogen cyanide
Hydrogen 
Ice
Inorganic compound
Interhalogen
Iron oxide
Isomer
Lactose
Lead
Lindane
Magnesium
Mauveine
Methane
Molybdenum
Monomer
Naphthalene
Nitrate
Palladium
Peroxide
Phosgene
Quinine
Rayon
Ribose
Salt
Selenium
Silicate
Silicon
Sodium
Strychnine
Sucrose
Sugar
Tabun
Tannin
Taxane
Urea
Wax
