Aholehole
Albacore
Alewife
Alfonsino
Algae eater
Alligatorfish
Amberjack
Amur pike
Anchovy
Anemonefish
Angelfish
Angler
Anglerfish
Arapaima
Archerfish
Armorhead
Arowana
Ayu
Bandfish
Banjo
Bangus
Barb
Barbel
Barfish
Barracuda
Barracudina
Barramundi
Barreleye
Bass
Basslet
Batfish
Beardfish
Beluga
Betta
Bichir
Bigeye
Bigscale
Billfish
Bitterling
Blackchin
Blackfish
Bleak
Blenny
Blobfish
Blowfish
Bluefish
Bluegill
Boafish
Boarfish
Bocaccio
Boga
Bonefish
Bonito
Bonnetmouth
Bonytail
Bonytongue
Bowfin
Boxfish
Bream
Brill
Bristlemouth
Brotula
Bullhead
Burbot
Buri
Butterfish
Butterflyfish
Candiru
Candlefish
Capelin
Cardinalfish
Carp
Carpsucker
Catalufa
Catfish
Catla
Cavefish
Char
Chimaera
Cherubfish
Chub
Chubsucker
Cichlid
Cisco
Clingfish
Clownfish
Cobbler
Cobia
Cod
Codlet
Codling
Coelacanth
Coffinfish
Coley
Combfish
carp
Cornetfish
Cowfish
Crappie
Crestfish
Croaker
Cusk
Dab
Dace
Damselfish
Danio
Darter
Dartfish
Dealfish
Demoiselle
Devario
Dhufish
Discus
Dogfish
Dorado
Dory
Dottyback
Dragonet
Dragonfish
Dragon goby
Driftfish
Drum
Duckbill
Eel
Eelpout
Elasmobranch
Elver
Emperor
Escolar
Eulachon
Fangtooth
Featherback
Fierasfer
Filefish
Fingerfish
Firefish
Flagblenny
Flagfin
Flagfish
Flagtail
Flatfish
Flathead
Flier
Flounder
Flyingfish
Footballfish
Forehead brooder
Frogfish
Gar
Garibaldi
Garpike
Ghoul
Gibberfish
Glassfish
Goatfish
Goby
Goldeye
Goldfish
Gombessa
Goosefish
Gopher
Gourami
Graveldiver
Grayling
Greeneye
Greenling
Grenadier
Grouper
Grunion
Grunt
Grunter
Gudgeon
Guitarfish
Gulper
Gunnel
Guppy
Gurnard
Haddock
Hagfish
Hairtail
Hake
Halfbeak
Halfmoon
Halibut
Halosaur
Hamlet
Hammerhead
Hammerjaw
Handfish
Harelip
Hatchetfish
Hawkfish
Herring
Hickory
Hoki
Horsefish
Huchen
Humuhumunukunukuapua'a
Hussar
Icefish
Ide
Ilisha
Inanga
Inconnu
Jack
Jackfish
Jack Dempsey
Javelin
Jawfish
Jellynose
Jewelfish
Jewfish
John Dory
Kafue pike
Kahawai
Kaluga
Kanyu
Kelp perch
Kelpfish
Killifish
King of the herrings
Kingfish
King-of-the-salmon
Kissing gourami
Knifefish
Knifejaw
Koi
Kokanee
Kokopu
Kuhli loach
Labyrinth fish
Ladyfish
Lampfish
Lamprey
Lancetfish
Lanternfish
Largemouth bass
Leaffish
Leatherjacket
Lefteye flounder
Lenok
Lightfish
Limia
Lined sole
Ling
Lionfish
Livebearer
Lizardfish
Loach
Longfin
Longjaw mudsucker
Loosejaw
Lost River sucker
Louvar
Luderick
Luminous hake
Lumpsucker
Lungfish
Mackerel
Madtom
Mahi-mahi
Mahseer
Mandarinfish
Manefish
Manta ray
Marblefish
Marlin
Medaka
Medusafish
Menhaden
Merluccid hake
Milkfish
Minnow
Minnow of the deep
Modoc sucker
Mojarra
Mola mola
Monkeyface prickleback
Monkfish
Mooneye
Moonfish
Moorish idol
Mora
Morwong
Mosquitofish
Mouthbrooder
Mrigal
Mudfish
Mudminnow
Mud minnow
Mudskipper
Mudsucker
Mullet
Mummichog
Muskellunge
Nase
Needlefish
Noodlefish
Notothen
Nurseryfish
Paddlefish
Pancake batfish
Panga
Parore
Parrotfish
Peacock flounder
Peamouth
Pearleye
Pearlfish
Pencilfish
Pencilsmelt
Peppered corydoras
Perch
Pickerel
Pigfish
Pike
Pikeblenny
Pikeperch
Pilchard
Pilot fish
Pineapplefish
Pineconefish
Píntano
Pipefish
Piranha
Pirarucu
Pirate perch
Plaice
Platy
Platyfish
Pleco
Plownose chimaera
Poacher
Pollyfish
Pollock
Pomfret
Pompano
Pompano dolphinfish
Ponyfish
Popeye catalufa
Porcupinefish
Porgy
Powen
Prickleback
Pricklefish
Prowfish
Pufferfish
Pumpkinseed
Pupfish
Pygmy sunfish
Quillback
Quillfish
Rabbitfish
Ragfish
Rainbowfish
Rasbora
Ratfish
Rattail
Ray
Razorback sucker
Razorfish
Redfin perch
Redfish
Redhorse sucker
Redlip blenny
Redmouth whalefish
Red velvetfish
Red whalefish
Reedfish
Remora
Ribbonfish
Ricefish
Ridgehead
Riffle dace
Righteye flounder
Rivuline
Roach
Rockfish
Rockling
Rockweed gunnel
Rohu
Ronquil
Roosterfish
Ropefish
Rough scad
Rough sculpin
Roughy
Roundhead
Round herring
Round stingray
Round whitefish
Rudd
Rudderfish
Ruffe
Russian sturgeon
Sábalo
Sabertooth
Sablefish
