016
Sirijus
Kanopus
Boo
Tolimanas,
Vega
Rigelis
Prokionas
Achernaras
Ori
Hadaras
Kapela
Altayras
Tau
Kapela
Spika
Antaris
Poluksas
Fomalhautas
Denebas
Bekruksas
Tolimanas,
Regulas
Akruksas
Adhara
Šaula
Gakruksas
Belatriksė
El
Miaplacidus
Alnilamas
