Hidrógeno
Helio
Litio
Berilio
Boro
Carbono
Nitrógeno
Oxígeno
Flúor
Neón
Sodio
Magnesio
Aluminio
Silicio
Fósforo
Azufre
Cloro
Argón
Potasio
Calcio
Escandio
Titanio
Vanadio
Cromo
Manganeso
Hierro
Cobalto
Níquel
Cobre
Zinc
Galio
Germanio
Arsénico
Selenio
Bromo
Kriptón
Rubidio
Estroncio
Ytrio
Zirconio
Niobio
Molibdeno
Tecnecio
Rutenio
Rodio
Paladio
Plata
Cadmio
Indio
Estaño
Antimonio
Teluro
Yodo
Xenón
Cesio
Bario
Lantano
Cerio
Praseodimio
Neodimio
Prometio
Samario
Europio
Gadolinio
Terbio
Disprosio
Holmio
Erbio
Tulio
Yterbio
Lutecio
Hafnio
Tantalio
Wolframio
Renio
Osmio
Iridio
Platino
Oro
Mercurio
Talio
Plomo
Bismuto
Polonio
Astato
Radón
Francio
Radio
Actinio
Torio
Protactinio
Uranio
Neptunio
Plutonio
Americio
Curio
Berkelio
Californio
Einsteinio
Fermio
Mendelevio
Nobelio
Laurencio
Rutherfordio
Dubnio
Seaborgio
Bohrio
Hassio
Meitnerio
Darmstadtio
Roentgenio
Copernicio
Nihonio
Flerovio
Moscovio
Livermorio
Teneso
Oganesón
