Okra
Kiwifruit
Potato
Onion
Cashew
Celery
Strawberry
Carambola
starfruit
Brazil nut
Beet
Mustard
Rapeseed
Broccoli
Cauliflower
Cabbage
Brussels sprouts
Chinese cabbage
Turnip, canola
Pigeon pea
Cajan pea
Congo bean
Jack bean
horse bean
sword bean
Chilli pepper
red pepper
bell pepper
green pepper
Papaya
Safflower
Caraway
Chestnut
Watermelon
Tangerine
Orange
grapefruit
tangelo
Coconut
Coffea spp.
Coffea arabica
Coffea canephora
Coriander
Crownvetch
Azarole
Cantaloupe
melon
Cucumber
Squash
pumpkin
gourd
marrow
zucchini
Guar bean
Goa bean
Quince
Lemon
Lime
Carrot
Hyacinth bean
Longan
Persimmon
Cardamom
Loquat
Buckwheat
Feijoa
Fennel
Cotton
Sunflower
Flax
Lychee
Lupine
Macadamia
Acerola
Apple
Mammee apple
Mango
Alfalfa
Rambutan
Cactus
prickly pear
Sainfoin
Passion fruit
maracuja
Avocado
Lima bean
kidney bean
haricot bean
adzuki bean
mungo bean
string bean
green bean
Scarlet runner bean
Allspice
Apricot
Sweet cherry
Sour cherry
Plum, greengage
mirabelle
sloe
Almond
Peach
nectarine
Guava
Pomegranate
Pear
Black currant
red currant
Rose hips
dogroses
Boysenberry
Raspberry
Blackberry
Elderberry
Sesame
Eggplant
Naranjilla
Rowanberry
Service tree
Hog plum
Tamarind
Clover
White clover
Alsike clover
Crimson clover
Red clover
Arrowleaf clover
Blueberry
Cranberry
Broad bean
Vetch
Cowpea
black-eyed pea
blackeye bean
Karite
Tomato
Grape
Jujube
